title,author,genre,year,description,book_id,available,total_copies,rating,borrow_count,content
The Great Gatsby,F. Scott Fitzgerald,Fiction,1925,A story of wealth and obsession in 1920s America,1,False,3,3.4,121,The Great Gatsby F. Scott Fitzgerald Fiction A story of wealth and obsession in 1920s America
A Brief History of Time,Stephen Hawking,Science,1988,Cosmology and the nature of time explained for everyone,2,True,4,3.2,97,A Brief History of Time Stephen Hawking Science Cosmology and the nature of time explained for everyone
Sapiens,Yuval Noah Harari,History,2011,A brief history of humankind from the Stone Age,3,True,3,4.5,138,Sapiens Yuval Noah Harari History A brief history of humankind from the Stone Age
Clean Code,Robert C. Martin,Technology,2008,Best practices for writing maintainable software,4,True,1,3.9,7,Clean Code Robert C. Martin Technology Best practices for writing maintainable software
Steve Jobs,Walter Isaacson,Biography,2011,The life of Apples visionary co-founder,5,True,5,3.6,18,Steve Jobs Walter Isaacson Biography The life of Apples visionary co-founder
The Da Vinci Code,Dan Brown,Mystery,2003,A symbologist uncovers a religious conspiracy,6,True,2,4.7,70,The Da Vinci Code Dan Brown Mystery A symbologist uncovers a religious conspiracy
Harry Potter and the Sorcerers Stone,J.K. Rowling,Fantasy,1997,A boy discovers he is a wizard,7,True,4,4.2,99,Harry Potter and the Sorcerers Stone J.K. Rowling Fantasy A boy discovers he is a wizard
Atomic Habits,James Clear,Self-Help,2018,Tiny changes that lead to remarkable results,8,False,2,4.0,90,Atomic Habits James Clear Self-Help Tiny changes that lead to remarkable results
Meditations,Marcus Aurelius,Philosophy,170,Reflections by the Roman emperor on Stoic philosophy,9,False,5,4.5,199,Meditations Marcus Aurelius Philosophy Reflections by the Roman emperor on Stoic philosophy
The Lion the Witch and the Wardrobe,C.S. Lewis,Children,1950,Four children discover a magical world through a wardrobe,10,True,4,4.6,118,The Lion the Witch and the Wardrobe C.S. Lewis Children Four children discover a magical world through a wardrobe
1984,George Orwell,Fiction,1949,A dystopian vision of a totalitarian surveillance state,11,True,3,4.4,163,1984 George Orwell Fiction A dystopian vision of a totalitarian surveillance state
The Selfish Gene,Richard Dawkins,Science,1976,Evolution from the gene-centered perspective,12,True,1,3.9,165,The Selfish Gene Richard Dawkins Science Evolution from the gene-centered perspective
Guns Germs and Steel,Jared Diamond,History,1997,Why some civilizations came to dominate others,13,False,5,3.8,133,Guns Germs and Steel Jared Diamond History Why some civilizations came to dominate others
The Pragmatic Programmer,David Thomas,Technology,1999,From journeyman to master software craftsman,14,False,1,4.5,176,The Pragmatic Programmer David Thomas Technology From journeyman to master software craftsman
Elon Musk,Ashlee Vance,Biography,2015,How the worlds most ambitious entrepreneur is shaping the future,15,False,1,4.0,19,Elon Musk Ashlee Vance Biography How the worlds most ambitious entrepreneur is shaping the future
Gone Girl,Gillian Flynn,Mystery,2012,A twisted psychological thriller about a missing wife,16,True,2,4.4,41,Gone Girl Gillian Flynn Mystery A twisted psychological thriller about a missing wife
The Hobbit,J.R.R. Tolkien,Fantasy,1937,A hobbit goes on an unexpected journey,17,True,5,4.8,159,The Hobbit J.R.R. Tolkien Fantasy A hobbit goes on an unexpected journey
Think and Grow Rich,Napoleon Hill,Self-Help,1937,Principles of success from 500 wealthy individuals,18,True,1,4.8,180,Think and Grow Rich Napoleon Hill Self-Help Principles of success from 500 wealthy individuals
The Republic,Plato,Philosophy,-380,Dialogue on justice and the ideal city-state,19,True,3,3.6,31,The Republic Plato Philosophy Dialogue on justice and the ideal city-state
Charlotte Web,E.B. White,Children,1952,A pig is saved by his spider friend,20,True,4,3.4,16,Charlotte Web E.B. White Children A pig is saved by his spider friend
Fully-configurable maximized protocol,Rebecca Fox,Mystery,1981,Light site fill summer by bring different hit send ever none production development ago offer anything.,21,True,5,3.5,71,Fully-configurable maximized protocol Rebecca Fox Mystery Light site fill summer by bring different hit send ever none production development ago offer anything.
Reduced bifurcated superstructure,Tammy Gordon,Children,2011,Would race prove approach sign have road process.,22,True,2,4.5,34,Reduced bifurcated superstructure Tammy Gordon Children Would race prove approach sign have road process.
Persistent asymmetric solution,Dennis Farrell,Philosophy,1981,Force home two number property science region.,23,True,5,3.7,100,Persistent asymmetric solution Dennis Farrell Philosophy Force home two number property science region.
Digitized uniform standardization,Jared Reed,History,1988,Support rise short gas bed news arm type young single window successful year trial husband recent.,24,True,2,3.3,198,Digitized uniform standardization Jared Reed History Support rise short gas bed news arm type young single window successful year trial husband recent.
Integrated radical framework,Autumn Moyer,Mystery,1979,Assume truth government control note information stop professional nice story.,25,True,4,3.2,139,Integrated radical framework Autumn Moyer Mystery Assume truth government control note information stop professional nice story.
Re-engineered regional hardware,Tina Morgan,Science,1980,As shoulder set yard avoid general land community another which watch.,26,True,3,3.7,38,Re-engineered regional hardware Tina Morgan Science As shoulder set yard avoid general land community another which watch.
Pre-emptive content-based strategy,Elizabeth Davis,Fantasy,1989,Have design president fact herself amount huge cup word suddenly hundred seven.,27,True,1,3.3,36,Pre-emptive content-based strategy Elizabeth Davis Fantasy Have design president fact herself amount huge cup word suddenly hundred seven.
Proactive tangible utilization,Matthew Thomas,Fiction,2012,Tonight law pressure head central industry word discussion eye boy certainly well suffer foot huge.,28,True,5,3.3,121,Proactive tangible utilization Matthew Thomas Fiction Tonight law pressure head central industry word discussion eye boy certainly well suffer foot huge.
Right-sized national task-force,Miguel Morris Jr.,Philosophy,1985,Measure authority tree defense economy interest direction because fish peace rise even discover property compare weight.,29,True,2,4.4,43,Right-sized national task-force Miguel Morris Jr. Philosophy Measure authority tree defense economy interest direction because fish peace rise even discover property compare weight.
Adaptive asymmetric info-mediaries,Richard Davis,Self-Help,2007,When surface TV body board church stuff person material class hope rule boy.,30,True,4,3.0,100,Adaptive asymmetric info-mediaries Richard Davis Self-Help When surface TV body board church stuff person material class hope rule boy.
Implemented intermediate installation,Chris Brown,Fantasy,1995,Home somebody though notice when place truth eat speak door worry either.,31,False,1,3.2,175,Implemented intermediate installation Chris Brown Fantasy Home somebody though notice when place truth eat speak door worry either.
Up-sized object-oriented benchmark,Andrew Smith,Children,1981,Poor fish rate skin relationship foot wife moment charge everyone race spend environment wear.,32,True,4,4.7,175,Up-sized object-oriented benchmark Andrew Smith Children Poor fish rate skin relationship foot wife moment charge everyone race spend environment wear.
Visionary user-facing paradigm,Jocelyn Ochoa,Fiction,1985,Record involve trip expect successful recent case today.,33,True,3,4.7,135,Visionary user-facing paradigm Jocelyn Ochoa Fiction Record involve trip expect successful recent case today.
Automated global encryption,Jennifer Taylor,Science,1957,She time teacher common response out tonight open sign affect include relate church bit guy.,34,True,1,3.7,178,Automated global encryption Jennifer Taylor Science She time teacher common response out tonight open sign affect include relate church bit guy.
Monitored secondary standardization,Christian Wilson,Children,2019,Born opportunity case down foot really according fund energy kitchen contain.,35,False,1,3.2,164,Monitored secondary standardization Christian Wilson Children Born opportunity case down foot really according fund energy kitchen contain.
Multi-tiered 3rdgeneration model,Regina Smith,Fiction,2011,Somebody really the establish number or yet instead court music method next hope lot.,36,True,1,4.4,47,Multi-tiered 3rdgeneration model Regina Smith Fiction Somebody really the establish number or yet instead court music method next hope lot.
Virtual cohesive knowledge user,Lisa Holland,Philosophy,1987,Data big wish thus best worry account people involve animal talk.,37,True,2,3.7,85,Virtual cohesive knowledge user Lisa Holland Philosophy Data big wish thus best worry account people involve animal talk.
Cloned contextually-based circuit,Christopher Estrada,Children,1950,These on teacher technology letter state loss action care build even question prevent.,38,True,1,3.1,7,Cloned contextually-based circuit Christopher Estrada Children These on teacher technology letter state loss action care build even question prevent.
Optimized tertiary benchmark,Janet Day,Self-Help,1989,Who idea TV move stuff difficult play star these base own.,39,False,4,3.3,78,Optimized tertiary benchmark Janet Day Self-Help Who idea TV move stuff difficult play star these base own.
Inverse homogeneous approach,Lacey Price,Self-Help,2012,Audience former nearly sometimes important adult democratic lead.,40,False,2,3.3,121,Inverse homogeneous approach Lacey Price Self-Help Audience former nearly sometimes important adult democratic lead.
Switchable content-based portal,Judy Weiss,Self-Help,2023,Relationship mean hot series read send consumer east girl continue care person report discover.,41,True,1,4.2,67,Switchable content-based portal Judy Weiss Self-Help Relationship mean hot series read send consumer east girl continue care person report discover.
Triple-buffered zero tolerance interface,Megan Wilkins,Fantasy,2023,Level others level ago response think bank focus executive whose window finish.,42,False,4,4.8,115,Triple-buffered zero tolerance interface Megan Wilkins Fantasy Level others level ago response think bank focus executive whose window finish.
Cross-platform actuating intranet,Christopher Gordon,Technology,2006,Suffer alone list major set son clear necessary people special born wish always watch short very.,43,False,4,4.6,44,Cross-platform actuating intranet Christopher Gordon Technology Suffer alone list major set son clear necessary people special born wish always watch short very.
Ameliorated national hub,James Hughes,Children,1994,Along beyond list want degree natural avoid shoulder audience positive either professional whole.,44,True,5,4.1,22,Ameliorated national hub James Hughes Children Along beyond list want degree natural avoid shoulder audience positive either professional whole.
